Combination	Total	TP	TN	FP	FN	Recall	FPR	Precision	F1score	Balanced_accuracy
micfunpred_0.5_95	2463	1439	5479	1024	1446	49.878682842287695	15.746578502229742	58.42468534307754	53.814510097232606	68.77190945854238
micfunpred_0.8_85	2370	1451	5579	919	1458	49.87968374011688	14.142813173284088	61.22362869198312	54.972532676643304	70.25228613794836
micfunpred_0.95_85	2136	1332	5687	804	1339	49.86896293523025	12.386381143121245	62.35955056179775	55.419180361972124	71.65088259658347
micfunpred_0.6_98	1893	1226	5830	667	1233	49.857665717771454	10.266276743112206	64.76492340200738	56.341911764705884	73.65387611414258
micfunpred_0.6_100	1792	1169	5874	623	1176	49.850746268656714	9.58904109589041	65.234375	56.51438240270728	74.2767619680851
micfunpred_1_100	1560	994	5921	566	1001	49.824561403508774	8.725142592878065	63.717948717948715	55.921237693389585	74.62840515932108
micfunpred_0.75_90	2416	1472	5554	944	1479	49.881396136902744	14.527546937519237	60.9271523178808	54.8537357928079	69.94885982167322
micfunpred_0.85_95	2232	1402	5668	830	1409	49.87548914976877	12.773160972606956	62.81362007168458	55.601824310926034	71.4520269356586
micfunpred_0.5_97	2449	1439	5491	1010	1446	49.878682842287695	15.536071373634824	58.75867701102491	53.955755530558676	68.95696572188841
micfunpred_0.7_99	1804	1185	5876	619	1192	49.85275557425326	9.530408006158583	65.68736141906874	56.68500358765846	74.41130945882695
