Tool,Data,Percent_identity,Sample,TP,FP,TN,FN,TPR,FPR,Precision,F1_score,BA
PICRUSt2,indian,97,C4_M,3642,1253,4714,3665,49.842616668947585,20.998826881179824,74.40245148110317,59.695131945582695,65.3310741711519
PICRUSt2,indian,97,HAV,3925,878,5008,3948,49.85393115711927,14.91675161399932,81.71975848428066,61.92805301356895,68.81878946992059
PICRUSt2,indian,97,HB,2544,1992,5328,2559,49.85302763080541,27.21311475409836,56.08465608465608,52.7855586679116,61.81942960185638
PICRUSt2,indian,97,HBV,3168,1645,5064,3186,49.858356940509914,24.519302429572214,65.82173280698109,56.738604817766635,63.60177549439964
PICRUSt2,indian,97,HBA,1760,2808,5314,1771,49.84423676012461,34.572765328736764,38.528896672504374,43.46215582170638,56.766212627007306
PICRUSt2,indian,97,C9_M,3062,1886,4919,3079,49.861586060902134,27.714915503306393,61.883589329021824,55.22589954008477,61.69323252397578
PICRUSt2,indian,97,HBI,3774,1060,4979,3796,49.85468956406869,17.55257492962411,78.07199007033513,60.851338277974854,67.40636540553793
PICRUSt2,indian,97,HBD,3737,1106,4987,3760,49.84660530879018,18.151977679304117,77.16291554821392,60.56726094003241,67.08837443124655
PICRUSt2,indian,97,C13_M,2598,2108,5150,2617,49.81783317353787,29.04381372278865,55.20611984700382,52.37375264590263,60.756143482147465
PICRUSt2,indian,97,HAO,3802,1062,4939,3831,49.810035372723696,17.697050491584736,78.16611842105263,60.84660318476434,67.24155407939747
PICRUSt2,indian,97,HG,3585,1061,5184,3608,49.84012234116502,16.989591673338673,77.16315109771847,60.56254751245882,68.06292222765813
PICRUSt2,indian,97,HAG,3198,1448,5045,3217,49.85190958690569,22.300939473278916,68.8334050796384,57.824789802007054,64.94805088162505
PICRUSt2,indian,97,HK,3472,1203,5164,3493,49.84924623115578,18.894298727815297,74.26737967914438,59.65635738831615,66.95926451902234
PICRUSt2,indian,97,C5_M,2663,2053,5149,2676,49.87825435474808,28.505970563732298,56.46734520780322,52.96867230233715,61.13463107035528
PICRUSt2,indian,97,HAF,2579,2185,5120,2596,49.83574879227053,29.911019849418206,54.13518052057095,51.89656907133514,60.245402598284436
PICRUSt2,indian,97,HBJ,3903,880,4997,3934,49.80222023733572,14.97362599965969,81.60150533138197,61.85419968304279,68.77634330503707
PICRUSt2,indian,97,C3_M,3591,1318,4788,3615,49.83347210657785,21.585325908942025,73.15135465471583,59.28188196450681,65.0655023898356
PICRUSt2,indian,97,HAU,3337,1544,4968,3362,49.81340498581878,23.710073710073708,68.36713788158164,57.63385146804836,64.0034969119793
PICRUSt2,indian,97,HAH,3347,1341,5186,3365,49.86591179976162,20.54542668913743,71.39505119453925,58.71929824561403,66.0214643178871
PICRUSt2,indian,97,HAN,3535,1010,5239,3559,49.83084296588666,16.1625860137622,77.77777777777779,60.744050176131964,68.66270111894117
PICRUSt2,indian,97,C19_M,3480,1317,5059,3501,49.84959174903309,20.655583437892094,72.54534083802376,59.09322465613857,65.8229040638717
PICRUSt2,indian,97,HAI,2731,1812,5281,2747,49.853961299744434,25.546313266600873,60.11446180937706,54.505538369424215,62.94836194604378
PICRUSt2,indian,97,HBB,2670,2040,5110,2686,49.850634802091115,28.53146853146853,56.68789808917197,53.049870852374326,61.11716607896259
PICRUSt2,indian,97,HCV,2859,2147,4896,2877,49.84309623430963,30.48416867812012,57.11146624051139,53.23031092906349,60.049364922648586
PICRUSt2,indian,97,HCU,3551,1253,5001,3571,49.859590002808204,20.0351774864087,73.91756869275603,59.550561797752806,66.1293396426916
PICRUSt2,indian,97,HDD,3807,1113,4909,3831,49.84289080911233,18.4822318166722,77.3780487804878,60.630673674151936,66.77254841770386
PICRUSt2,indian,97,HY,3660,1424,4781,3684,49.83660130718954,22.949234488315877,71.99055861526357,58.89925973607981,64.23509029404644
PICRUSt2,indian,97,HBR,2563,2215,5107,2580,49.83472681314408,30.251297459710464,53.64169108413562,51.668178611027116,60.03926625235791
PICRUSt2,indian,97,HDB,2346,2480,5053,2363,49.81949458483754,32.92181069958848,48.61168669705761,49.20818038804405,58.37407420074023
PICRUSt2,indian,97,HAB,3242,1658,4823,3266,49.81561155500922,25.582471840765315,66.16326530612245,56.83730715287517,62.89372314632369
PICRUSt2,indian,97,C15_M,2772,1952,5148,2793,49.81132075471698,27.492957746478876,58.67908552074513,53.88278744290019,61.75359640600914
PICRUSt2,indian,97,HE,3162,1665,5001,3184,49.8266624645446,24.977497749774976,65.50652579241765,56.600733912109554,63.303049090466615
PICRUSt2,indian,97,HBK,3696,999,4993,3718,49.85163204747774,16.672229639519358,78.7220447284345,61.045503344619696,68.02018893521944
PICRUSt2,indian,97,C14_M,2531,2070,5238,2549,49.82283464566929,28.32512315270936,55.0097804825038,52.28798677822539,61.13786828157552
PICRUSt2,indian,97,HBL,3181,1565,4999,3201,49.843309307427134,23.842169408897014,67.02486304256216,57.17109992810927,63.99413883835425
PICRUSt2,indian,97,HR,3300,1197,5344,3317,49.871542995315096,18.299954135453294,73.3822548365577,59.38456001439626,67.5420684181634
PICRUSt2,indian,97,HAJ,2487,2039,5324,2503,49.83967935871744,27.692516637240256,54.94918250110473,52.26986128625474,61.48506780606533
PICRUSt2,indian,97,HCI,3786,1210,4834,3808,49.85514880168554,20.0198544010589,75.78062449959968,60.14297061159651,65.85837519819142
PICRUSt2,indian,97,HBF,3738,916,5133,3762,49.84,15.14299884278393,80.31800601633003,61.510613789698866,69.01229137241461
PICRUSt2,indian,97,HBH,3871,1072,4887,3894,49.8518995492595,17.989595569726465,78.31276552700788,60.92225369845766,66.98350951444347
PICRUSt2,indian,97,HI,3915,798,4795,3940,49.84086569064291,14.267834793491865,83.06810948440484,62.301082113303636,68.98110683149837
PICRUSt2,indian,97,HCM,3499,1220,5132,3520,49.85040604074655,19.20654911838791,74.14706505615597,59.6183336173113,66.73141509858192
PICRUSt2,indian,97,HW,3679,1752,4504,3701,49.85094850948509,28.005115089514064,67.74074756030197,57.43501678245258,61.31705263450809
PICRUSt2,indian,97,HF,3311,1505,5015,3334,49.82693754702784,23.08282208588957,68.75,57.778553354855596,64.40853695053299
PICRUSt2,indian,97,HN,3549,1330,4988,3570,49.852507374631266,21.05096549540994,72.7403156384505,59.15985997666278,65.51248079188241
PICRUSt2,indian,97,HO,3521,1785,4572,3540,49.865458150403626,28.079282680509678,66.35883905013192,56.94186140535295,61.359892897847025
PICRUSt2,indian,97,HBZ,2203,2638,4834,2217,49.84162895927602,35.305139186295506,45.50712662673001,47.575855739121046,57.03238901184749
PICRUSt2,indian,97,C22_M,2542,2145,5197,2554,49.88226059654631,29.215472623263416,54.235118412630676,51.96769906981498,60.64226569580057
PICRUSt2,indian,97,HAC,3627,1131,5050,3650,49.841967843891716,18.298010030739363,76.22950819672131,60.27420024927296,67.13774260410779
PICRUSt2,indian,97,HA,3231,1537,5085,3248,49.86880691464732,23.210510419812746,67.76426174496645,57.45532141904508,64.39335132130117
Piphillin,indian,97,HU,3042,2071,3183,3098,49.54397394136808,39.4175866006852,59.49540387248191,54.06558251133031,55.08602385950159
Piphillin,indian,97,HCP,3503,1353,3379,3541,49.73026689381034,28.592561284868978,72.13756177924218,58.87394957983194,60.48352077401415
Piphillin,indian,97,C10_M,2603,2611,3183,2642,49.62821734985701,45.06385916465309,49.92328346758727,49.77531312745005,52.2835301458108
Piphillin,indian,97,HCY,3435,1657,3146,3454,49.862098998403255,34.49927128877785,67.45875883739198,57.34078958350722,57.562712752029334
Piphillin,indian,97,C6_M,3791,1327,3158,3834,49.718032786885246,29.58751393534002,74.07190308714343,59.49933296711921,59.618903488651796
Piphillin,indian,97,C7_M,2886,1806,3586,2916,49.74146845915202,33.49406528189911,61.508951406649615,55.00285877644368,58.3306061247336
Piphillin,indian,97,C2_M,3707,1557,3114,3735,49.811878527277614,33.33333333333333,70.42173252279636,58.35038564457737,57.94411199070173
Piphillin,indian,97,HAR,2182,2630,3526,2205,49.73786186459995,42.72254710851202,45.34497090606816,47.4399391238178,53.435005083116096
Piphillin,indian,97,HS,3681,1619,2987,3742,49.589114913107906,35.14980460269214,69.45283018867924,57.86371138882339,56.921392059713384
Piphillin,indian,97,HCO,2733,2409,3243,2755,49.79956268221574,42.62208067940552,53.15052508751459,51.42050799623706,53.609273880869665
Piphillin,indian,97,HJ,2077,2854,3423,2101,49.71278123504069,45.467580054166,42.121273575339686,45.60324953342848,52.04362013307172
Piphillin,indian,97,HBC,2076,2912,3254,2095,49.7722368736514,47.22672721375284,41.61988773055333,45.332459875532265,51.226844220483244
Piphillin,indian,97,C16_M,3133,2098,3148,3166,49.738053659311,39.99237514296607,59.892945899445614,54.345186470078055,54.875202756501395
Piphillin,indian,97,HCR,3524,1520,3179,3557,49.766982064680136,32.34730793785912,69.86518636003171,58.12783505154639,58.529683441298516
Piphillin,indian,97,HAD,3690,1405,3177,3744,49.63680387409201,30.66346573548669,72.42394504416094,58.903344241360045,59.16385808775018
Piphillin,indian,97,HCD,3738,1458,3153,3759,49.85994397759104,31.620039037085228,71.93995381062356,58.898605530607426,58.778136627533996
Piphillin,indian,97,HQ,3560,1703,3117,3588,49.8041410184667,35.33195020746888,67.64202926087782,57.368463459834004,57.064862505159276
Piphillin,indian,97,HAM,4109,1305,2888,4164,49.66759337604255,31.123300739327455,75.8958256372368,60.04237597720464,58.424373397177675
Piphillin,indian,97,HCF,3322,1436,3498,3354,49.760335530257635,29.104175111471424,69.8192517864649,58.10739898548189,60.4350199387666
Piphillin,indian,97,HCJ,3503,1539,3176,3536,49.76559170336696,32.64050901378579,69.47639825466085,57.99188808873438,58.39731712494663
Piphillin,indian,97,HDE,4028,1163,3153,4057,49.82065553494125,26.946246524559776,77.59583895203235,60.68092799035854,60.6633841084711
Piphillin,indian,97,HC,3258,1766,3296,3287,49.778456837280366,34.88739628605294,64.84872611464968,56.32293197337712,57.45854200309425
Piphillin,indian,97,HCN,3428,1175,3585,3464,49.73882762623331,24.68487394957983,74.47316967195307,59.64332318399303,62.66572372092476
Piphillin,indian,97,HAL,3832,1571,3025,3866,49.77916341906989,34.181897302001744,70.92356098463817,58.49935119456531,57.410699372017234
Piphillin,indian,97,HAA,3873,1312,3128,3921,49.69207082371055,29.549549549549546,74.69623915139827,59.681023191309045,59.53566390822858
Piphillin,indian,97,HBE,4014,1174,3138,4041,49.83240223463687,27.226345083487942,77.37085582112567,60.6207052782602,60.540839527779724
Piphillin,indian,97,C25_M,3548,1585,3233,3576,49.8034811903425,32.89746782897468,69.12137151763102,57.893448641592556,58.30132315050298
